"","mes","dia","telebras","indice"
"1","Jan",2,34.99,43.19
"2","Jan",4,32.09,39.68
"3","Jan",5,32.56,40.37
"4","Jan",6,30.31,38.27
"5","Jan",9,28.91,36.28
"6","Jan",10,26.1,32.7
"7","Jan",11,28.25,34.99
"8","Jan",12,30.41,38.41
"9","Jan",13,32,41.04
"10","Jan",16,31.25,40.56
"11","Jan",17,32.37,42.1
"12","Jan",18,30.87,40.79
"13","Jan",19,28.63,38.09
"14","Jan",20,29.56,38.62
"15","Jan",23,28.44,37.58
"16","Jan",24,29.28,38.4
"17","Jan",26,29.84,39.27
"18","Jan",27,28.35,37.84
"19","Jan",30,27.32,35.81
"20","Jan",31,30.41,38.85
"21","Fev",1,31.34,39.9
"22","Fev",2,30.78,38.98
"23","Fev",3,31.44,39.44
"24","Fev",6,30.59,38.3
"25","Fev",7,28.63,36.37
"26","Fev",8,27.6,35.56
"27","Fev",9,26.38,34.01
"28","Fev",10,25.26,33.08
"29","Fev",13,24.98,32.95
"30","Fev",14,24.56,31.92
"31","Fev",15,23.02,30.69
"32","Fev",16,20.96,28.64
"33","Fev",17,22.45,30.23
"34","Fev",20,21.61,29.62
"35","Fev",21,19.74,27.93
"36","Fev",22,20.49,28.72
"37","Fev",23,23.02,32.17
"38","Fev",24,23.48,32.71
"39","Fev",26,27.65,35.37
"40","Fev",27,28.8,36.61
"41","Fev",28,29.21,37.15
"42","Fev",29,28.62,36.78
"43","Mar",2,20.96,29.89
"44","Mar",6,20.4,28.67
"45","Mar",7,18.43,26.16
"46","Mar",8,16.84,23.63
"47","Mar",9,15.06,21.38
"48","Mar",10,21.05,26.86
"49","Mar",13,20.77,26.71
"50","Mar",14,23.3,30.17
"51","Mar",15,21.99,29.39
"52","Mar",16,23.75,31.42
"53","Mar",17,22.08,29.81
"54","Mar",20,21.14,28.7
"55","Mar",21,22.45,30.06
"56","Mar",22,22.36,30.04
"57","Mar",23,23.67,31.46
"58","Mar",24,25.63,33.61
"59","Mar",27,25.73,33.72
"60","Mar",28,24.61,32.56
"61","Mar",29,24.51,31.98
"62","Mar",30,22.13,31.26
"63","Mar",31,22.64,29.79
"64","Abr",3,22.08,28.94
"65","Abr",4,24.33,31.25
"66","Abr",5,24.98,31.8
"67","Abr",6,25.54,32.54
"68","Abr",7,25.35,31.92
"69","Abr",10,24.79,31.14
"70","Abr",11,24.23,30.18
"71","Abr",12,23.95,30.21
"72","Abr",17,24.89,31.13
"73","Abr",18,25.82,31.94
"74","Abr",19,27.23,33.31
"75","Abr",20,27.79,33.84
"76","Abr",24,29,35.13
"77","Abr",25,30.13,36.99
"78","Abr",26,30.69,38.26
"79","Abr",27,31.06,38.51
"80","Abr",28,30.86,38.14
"81","Mai",2,31.23,38.62
"82","Mai",3,31.99,39.76
"83","Mai",4,32.41,40.44
"84","Mai",5,31.71,40.08
"85","Mai",8,30.86,39.14
"86","Mai",9,32.23,40.65
"87","Mai",10,31.9,40.5
"88","Mai",11,30.62,39.51
"89","Mai",12,30.95,39.98
"90","Mai",15,29.91,38.94
"91","Mai",16,29.63,38.35
"92","Mai",17,31.14,39.64
"93","Mai",18,31.23,40.08
"94","Mai",19,30.81,39.5
"95","Mai",22,31.99,40.34
"96","Mai",23,32.56,40.88
"97","Mai",24,33.31,41
"98","Mai",25,32.37,40.19
"99","Mai",26,30.27,39.05
"100","Mai",29,30.91,38.96
"101","Mai",30,28.71,37.07
"102","Mai",31,28.98,37.21
"103","Jun",1,29.53,37.74
"104","Jun",2,30.91,39.66
"105","Jun",5,31.5,40.63
"106","Jun",6,30.36,39.33
"107","Jun",7,29.07,38.08
"108","Jun",8,29.01,38.18
"109","Jun",9,27.51,36.71
"110","Jun",12,28.16,37.05
"111","Jun",13,29.42,37.89
"112","Jun",14,27.88,36.65
"113","Jun",16,28.48,37.18
"114","Jun",19,28.57,36.96
"115","Jun",20,27.15,35.77
"116","Jun",21,27.88,36.32
"117","Jun",22,27.7,35.99
"118","Jun",23,27.74,35.86
