"","sexo","curso"
"1","1.Masculino","1.Física"
"2","1.Masculino","1.Física"
"3","1.Masculino","1.Física"
"4","1.Masculino","1.Física"
"5","1.Masculino","1.Física"
"6","1.Masculino","1.Física"
"7","1.Masculino","1.Física"
"8","1.Masculino","1.Física"
"9","1.Masculino","1.Física"
"10","1.Masculino","1.Física"
"11","1.Masculino","1.Física"
"12","1.Masculino","1.Física"
"13","1.Masculino","1.Física"
"14","1.Masculino","1.Física"
"15","1.Masculino","1.Física"
"16","1.Masculino","1.Física"
"17","1.Masculino","1.Física"
"18","1.Masculino","1.Física"
"19","1.Masculino","1.Física"
"20","1.Masculino","1.Física"
"21","1.Masculino","1.Física"
"22","1.Masculino","1.Física"
"23","1.Masculino","1.Física"
"24","1.Masculino","1.Física"
"25","1.Masculino","1.Física"
"26","1.Masculino","1.Física"
"27","1.Masculino","1.Física"
"28","1.Masculino","1.Física"
"29","1.Masculino","1.Física"
"30","1.Masculino","1.Física"
"31","1.Masculino","1.Física"
"32","1.Masculino","1.Física"
"33","1.Masculino","1.Física"
"34","1.Masculino","1.Física"
"35","1.Masculino","1.Física"
"36","1.Masculino","1.Física"
"37","1.Masculino","1.Física"
"38","1.Masculino","1.Física"
"39","1.Masculino","1.Física"
"40","1.Masculino","1.Física"
"41","1.Masculino","1.Física"
"42","1.Masculino","1.Física"
"43","1.Masculino","1.Física"
"44","1.Masculino","1.Física"
"45","1.Masculino","1.Física"
"46","1.Masculino","1.Física"
"47","1.Masculino","1.Física"
"48","1.Masculino","1.Física"
"49","1.Masculino","1.Física"
"50","1.Masculino","1.Física"
"51","1.Masculino","1.Física"
"52","1.Masculino","1.Física"
"53","1.Masculino","1.Física"
"54","1.Masculino","1.Física"
"55","1.Masculino","1.Física"
"56","1.Masculino","1.Física"
"57","1.Masculino","1.Física"
"58","1.Masculino","1.Física"
"59","1.Masculino","1.Física"
"60","1.Masculino","1.Física"
"61","1.Masculino","1.Física"
"62","1.Masculino","1.Física"
"63","1.Masculino","1.Física"
"64","1.Masculino","1.Física"
"65","1.Masculino","1.Física"
"66","1.Masculino","1.Física"
"67","1.Masculino","1.Física"
"68","1.Masculino","1.Física"
"69","1.Masculino","1.Física"
"70","1.Masculino","1.Física"
"71","1.Masculino","1.Física"
"72","1.Masculino","1.Física"
"73","1.Masculino","1.Física"
"74","1.Masculino","1.Física"
"75","1.Masculino","1.Física"
"76","1.Masculino","1.Física"
"77","1.Masculino","1.Física"
"78","1.Masculino","1.Física"
"79","1.Masculino","1.Física"
"80","1.Masculino","1.Física"
"81","1.Masculino","1.Física"
"82","1.Masculino","1.Física"
"83","1.Masculino","1.Física"
"84","1.Masculino","1.Física"
"85","1.Masculino","1.Física"
"86","1.Masculino","1.Física"
"87","1.Masculino","1.Física"
"88","1.Masculino","1.Física"
"89","1.Masculino","1.Física"
"90","1.Masculino","1.Física"
"91","1.Masculino","1.Física"
"92","1.Masculino","1.Física"
"93","1.Masculino","1.Física"
"94","1.Masculino","1.Física"
"95","1.Masculino","1.Física"
"96","1.Masculino","1.Física"
"97","1.Masculino","1.Física"
"98","1.Masculino","1.Física"
"99","1.Masculino","1.Física"
"100","1.Masculino","1.Física"
"101","2.Feminino","1.Física"
"102","2.Feminino","1.Física"
"103","2.Feminino","1.Física"
"104","2.Feminino","1.Física"
"105","2.Feminino","1.Física"
"106","2.Feminino","1.Física"
"107","2.Feminino","1.Física"
"108","2.Feminino","1.Física"
"109","2.Feminino","1.Física"
"110","2.Feminino","1.Física"
"111","2.Feminino","1.Física"
"112","2.Feminino","1.Física"
"113","2.Feminino","1.Física"
"114","2.Feminino","1.Física"
"115","2.Feminino","1.Física"
"116","2.Feminino","1.Física"
"117","2.Feminino","1.Física"
"118","2.Feminino","1.Física"
"119","2.Feminino","1.Física"
